DATE,REGION,GOUVERNORAT,Port,T.PECHE,ESPECE,GROUPE,QR,Année
31/01/2020,Sud,Medenine,Zarzis,Chalut benthique,Roussette,P.blanc,339.3,2020
31/01/2020,Sud,Medenine,Zarzis,Chalut benthique,Raie,P.blanc,35.1,2020
31/01/2020,Sud,Medenine,Zarzis,Cotière,Chien de mer,P.blanc,1420,2020
31/01/2020,Sud,Medenine,Zarzis,Cotière,Emissole,P.blanc,5183,2020
31/01/2020,Sud,Medenine,Zarzis,Cotière,Raie,P.blanc,1278,2020
31/01/2020,Sud,Medenine,Zarzis,Cotière,Ange de mer,P.blanc,355,2020
31/01/2020,Sud,Medenine,Houmtsouk,Cotière,Chien de mer,P.blanc,355,2020
31/01/2020,Sud,Medenine,Houmtsouk,Cotière,Raie,P.blanc,1278,2020
31/01/2020,Sud,Medenine,Boughrara,Cotière,Raie,P.blanc,139.16,2020
31/01/2020,Sud,Medenine,Elketf,Cotière,Chien de mer,P.blanc,2030.6,2020
31/01/2020,Sud,Medenine,Elketf,Cotière,Emissole,P.blanc,2584.4,2020
31/01/2020,Sud,Medenine,Elketf,Cotière,Raie,P.blanc,653.2,2020
31/01/2020,Sud,Medenine,Hassi Jallaba,Cotière,Raie,P.blanc,142,2020
31/01/2020,Sud,Medenine,Elgreen,Cotière,Raie,P.blanc,284,2020
31/01/2020,Sud,Sfax,Sfax,Chalut benthique,Chien de mer,P.blanc,1036.62,2020
31/01/2020,Sud,Sfax,Sfax,Chalut benthique,Roussette,P.blanc,1992.51,2020
31/01/2020,Sud,Sfax,Sfax,Chalut benthique,Raie,P.blanc,2482.74,2020
31/01/2020,Sud,Sfax,Zabboussa,Cotière,Ange de mer,P.blanc,142,2020
31/01/2020,Sud,Sfax,Mellita,Cotière,Roussette,P.blanc,4970,2020
31/01/2020,Sud,Sfax,Mellita,Cotière,Raie,P.blanc,2470.8,2020
31/01/2020,Sud,Sfax,Kratten,Cotière,Roussette,P.blanc,1846,2020
31/01/2020,Sud,Sfax,Attaya,Cotière,Roussette,P.blanc,4047,2020
29/02/2020,Sud,Medenine,Zarzis,Chalut benthique,Roussette,P.blanc,58.5,2020
29/02/2020,Sud,Medenine,Zarzis,Chalut benthique,Ange de mer,P.blanc,35.1,2020
29/02/2020,Sud,Medenine,Zarzis,Cotière,Chien de mer,P.blanc,397.6,2020
29/02/2020,Sud,Medenine,Zarzis,Cotière,Emissole,P.blanc,8647.8,2020
29/02/2020,Sud,Medenine,Zarzis,Cotière,Raie,P.blanc,994,2020
29/02/2020,Sud,Medenine,Houmtsouk,Cotière,Chien de mer,P.blanc,241.4,2020
29/02/2020,Sud,Medenine,Houmtsouk,Cotière,Raie,P.blanc,2556,2020
29/02/2020,Sud,Medenine,Ajim,Cotière,Raie,P.blanc,610.6,2020
29/02/2020,Sud,Medenine,Boughrara,Cotière,Raie,P.blanc,937.2,2020
29/02/2020,Sud,Medenine,Elketf,Cotière,Chien de mer,P.blanc,2414,2020
29/02/2020,Sud,Medenine,Elketf,Cotière,Emissole,P.blanc,11999,2020
29/02/2020,Sud,Medenine,Elketf,Cotière,Raie,P.blanc,1022.4,2020
29/02/2020,Sud,Medenine,Hassi Jallaba,Cotière,Raie,P.blanc,852,2020
29/02/2020,Sud,Medenine,Elgreen,Cotière,Raie,P.blanc,1420,2020
29/02/2020,Sud,Sfax,Sfax,Chalut benthique,Chien de mer,P.blanc,508.95,2020
29/02/2020,Sud,Sfax,Sfax,Chalut benthique,Roussette,P.blanc,1111.5,2020
29/02/2020,Sud,Sfax,Sfax,Chalut benthique,Raie,P.blanc,2345.85,2020
29/02/2020,Sud,Sfax,Sfax,Cotière,Raie,P.blanc,4015.76,2020
29/02/2020,Sud,Sfax,Ellouza,Cotière,Raie,P.blanc,4260,2020
29/02/2020,Sud,Sfax,Sidi Mansour,Cotière,Raie,P.blanc,2661.08,2020
29/02/2020,Sud,Sfax,Zabboussa,Cotière,Ange de mer,P.blanc,170.4,2020
29/02/2020,Sud,Sfax,Mellita,Cotière,Roussette,P.blanc,4828,2020
29/02/2020,Sud,Sfax,Kratten,Cotière,Roussette,P.blanc,923,2020
29/02/2020,Sud,Sfax,Attaya,Cotière,Roussette,P.blanc,2343,2020
31/03/2020,Sud,Medenine,Zarzis,Chalut benthique,Chien de mer,P.blanc,35.1,2020
31/03/2020,Sud,Medenine,Zarzis,Chalut benthique,Roussette,P.blanc,163.8,2020
31/03/2020,Sud,Medenine,Zarzis,Chalut benthique,Emissole,P.blanc,23.4,2020
31/03/2020,Sud,Medenine,Zarzis,Cotière,Chien de mer,P.blanc,497,2020
31/03/2020,Sud,Medenine,Zarzis,Cotière,Emissole,P.blanc,2911,2020
31/03/2020,Sud,Medenine,Zarzis,Cotière,Raie,P.blanc,1420,2020
31/03/2020,Sud,Medenine,Zarzis,Cotière,Ange de mer,P.blanc,568,2020
31/03/2020,Sud,Medenine,Houmtsouk,Cotière,Chien de mer,P.blanc,823.6,2020
