DATE,REGION,GOUVERNORAT,Port,T.PECHE,ESPECE,GROUPE,QR,Année
janv.-16,Est,Mahdia,Mahdia,Chalut Benthique,Chien de mer,P.blanc,362.7,2016
janv.-16,Est,Mahdia,Mahdia,Chalut Benthique,Raie,P.blanc,2644.2,2016
janv.-16,Est,Mahdia,Mahdia,Cotière,Raie,P.blanc,255.6,2016
janv.-16,Est,Mahdia,Chebba,Chalut Benthique,Chien de mer,P.blanc,30303,2016
janv.-16,Est,Mahdia,Chebba,Chalut Benthique,Raie,P.blanc,31005,2016
janv.-16,Est,Mahdia,Chebba,Cotière,Chien de mer,P.blanc,8804,2016
janv.-16,Est,Mahdia,Chebba,Cotière,Raie,P.blanc,2811.6,2016
janv.-16,Est,Monastir,Monastir,Cotière,Chien de mer,P.blanc,1306.4,2016
janv.-16,Est,Monastir,Monastir,Cotière,Raie,P.blanc,1192.8,2016
janv.-16,Est,Monastir,Khnis,Cotière,Raie,P.blanc,264.12,2016
janv.-16,Est,Monastir,Ksibet el Madiouni,Cotière,Raie,P.blanc,187.44,2016
janv.-16,Est,Monastir,Teboulba,Chalut Benthique,Chien de mer,P.blanc,396.63,2016
janv.-16,Est,Monastir,Teboulba,Chalut Benthique,Raie,P.blanc,1509.3,2016
janv.-16,Est,Monastir,Teboulba,Cotière,Chien de mer,P.blanc,1539.28,2016
janv.-16,Est,Monastir,Teboulba,Cotière,Raie,P.blanc,2577.3,2016
janv.-16,Est,Monastir,Bekalta,Cotière,Emissole,P.blanc,653.2,2016
janv.-16,Est,Monastir,Bekalta,Cotière,Raie,P.blanc,752.6,2016
janv.-16,Est,Nabeul,Beni Khiar,Cotière,Chien de mer,P.blanc,191.7,2016
janv.-16,Est,Nabeul,Beni Khiar,Cotière,Raie,P.blanc,149.1,2016
janv.-16,Est,Sousse,Sousse,Chalut Benthique,Chien de mer,P.blanc,3209.31,2016
janv.-16,Est,Sousse,Sousse,Chalut Benthique,Raie,P.blanc,7361.64,2016
janv.-16,Est,Sousse,Essaloum,Cotière,Chien de mer,P.blanc,170.4,2016
janv.-16,Est,Sousse,Port el Kantaoui,Cotière,Chien de mer,P.blanc,99.4,2016
janv.-16,Nord,Bèja,Zouaraa,Cotière,Raie,P.blanc,923,2016
janv.-16,Nord,Bizerte,Bizerte,Chalut Benthique,Chien de mer,P.blanc,2107.17,2016
janv.-16,Nord,Bizerte,Bizerte,Chalut Benthique,Raie,P.blanc,4007.25,2016
janv.-16,Nord,Bizerte,Bizerte,Cotière,Chien de mer,P.blanc,24878.4,2016
janv.-16,Nord,Bizerte,Bizerte,Cotière,Raie,P.blanc,681.6,2016
janv.-16,Nord,Bizerte,Cap.Zebib,Cotière,Chien de mer,P.blanc,110.76,2016
janv.-16,Nord,Bizerte,Cap.Zebib,Cotière,Raie,P.blanc,68.16,2016
janv.-16,Nord,Bizerte,Raf Raf,Cotière,Chien de mer,P.blanc,56.8,2016
janv.-16,Nord,Bizerte,Raf Raf,Cotière,Emissole,P.blanc,79.52,2016
janv.-16,Nord,Bizerte,Raf Raf,Cotière,Raie,P.blanc,109.34,2016
janv.-16,Nord,Jendouba,Tabarka,Chalut Benthique,Raie,P.blanc,1088.1,2016
